Question;Expected answer
How many months does bloom use to calculate the splitting ?;Bloom uses the last 6 months of cleansed baseline to calculate the splitting weights (Spectrum). The calculation is updated automatically every month
When I should use proportional factor?;YOU CAN USE PROPORTIONAL FACTORS WHEN THERE ARE TREND BREAKES
In which log I can find promo rejection log?;In forecast upload rejection log you can find promo rejection log
what is the meaning of the ALERT FORCED QTYs FOR BFLs and how to adjust this type of alert?;The "ALERT FORCED QTYs FOR BFLs" in BLOOM means that there are BFL models where forecasts have been manually overridden or 'forced' for an extended period  specifically for more than three months at the BFL level. To adjust you need to enter in modeling screen  analyze if the forced quantities are correct or not and if it is the case you need to erase the forced quantities and save.
Where do I find the upload screen on bloom?;On the Import/export pane (uploads are possible on any affaire)
Where I can find customer hierarchy?;On the Master Data Panel you can find Customer Hierarchy
What is the additional adjustment feature ?;With the additional adjustments (BL1 2029) report  you can apply one specific % into your forecast with a desired hierarchy (e.g. signature  brand  axe  etc). The % will be applyed for all the baseline forecast for the defined hierarchy once saved 
How do I treat BFLs with negative cleansed baseline ?;You should go to the cleansing screen and understand the reason you had those negative adjustments - they are turning your cleansed baseline into negative numbers  affecting your statistical forecast
What are the filterss needed to open one report or analyzer in BLOOM?;To open a report or analyzer in BLOOM  you typically need to apply various filters to narrow down the data to your specific area of interest. The training guide highlights several key filters and methods for selecting data: Direct Filters: Product  Sales Territory  Trade Channel  Nodes. Dimension Filters (Drill Down): Progressively refine your selection from broader categories to more granular details. Attribute Filters: Instead of drilling down  you can directly select desired information by choosing specific "attributes" Variants: Once you've applied a set of filters that you frequently use  you can save these as a "variant."
Can I put proportional factor value manually?;You can put proportional factor value manually be removing dynamic option
What is the target setup on the DP card and when can I use it ?;You can use the target once you have a targeted quantity to be splitted into a defined period of time (e.g. one year). It can be used for launche to baseline  for example - to set one quantity defined for the next 24 next months 
Which screens do I use to check my forecast consistency?;the master analyzers  the forecast triangle  xthe evolution of the forecast for the next 3 months and for the next year are usefull reports that can be used to check the forecast consistency
How do I identify which BFLs need calibration ?;If the model KPIs in the DP card are not on the target. An alternative method is to use DP card alert
When Forecast is archived?;Forecast is archived last day of month
How do we put the forecast of new item that no code yet in FM?;Please  consider to use the dummy codes for that. 
How do I access the CSO Demand Planning Cards?;in the DP card you have option to choose sellout instead of sellin (button nearby BFL description under sellin button)
With new substitution how spectrum is calculated?;With new substitution spectrum calculated based on the aggregation of the substituted & substitute sell-in for modelized products
Whats the quickest way in Bloom to see the HML XYZ for a code we are given?;The quickest way  to see the HML XYZ is the master modeling report 4002
What are the impacts when I discontinue one SKU in BLOOM?;Once you move the SKU from C5 or C6 to C7 or C9 the spectrums is forced to zero  so the BFL forecast will no longer be splitted into those discontinued SKUs anymore
Is HML-XYZ segmentation linked to SKU status  even if all SKUs are C7 or C9?;HML   XYZ segmentation is not linked to SKU status. You can have BFL HML-XYZ even if all SKUs are C7 or C9. Use end of history for such BFLs 
What are the most common substitution inconsistencies I can face?;Chain  attributes and master data inconsistencies
Which page I can see catalogue segmentation;In the Welcome page
In master analyzer at which level I can force or adjust forecast?;In Master analyzer you can adjust forecast ONLY at SKU local level
How is checking trend breaks relevant to modeling guidelines ?;the trend breaks can affect your forecast  so it is always important to check the historical sell in and understand the past scenario to better reflect your future
When I need to discontinue one entire BFL from my portfolio  how should I manage it?;Once yuo discontinue the entire BFL you should add the forecast end date (according to the discontinuation date). If you have remanining units to sell  you need to adjust those remaining quantities manually  by forcing the forecast
what does "check bias condition correction" show please?;It highlights the BFLs that should be corrected according to BIAS condition and evolution (Next 4M vs past 4M) it depends on 2 conditions  (1) if evol% more/less 20% and -20% and (2) bias correction 
Which forecast snapshot is used for KPI Fcst Accuracy calculation?;The last working day of the month
